date,max_cells/L_raw,max_cells/L_raw_b1e5,gap,bloom_length,bloom_number,n_blooms,n_large_blooms,n_days_bloom
1993Q1,10000.0,,,,,0.0,,
1993Q3,43000.0,,,,,0.0,,
1994Q1,10000.0,,,,,0.0,,
1994Q3,358000000.0,358000000.0,24.0,30.0,3.0,1.0,1.0,12.0
1995Q1,81700000.0,81700000.0,,,4.0,0.0,,
1995Q3,64843000.0,64843000.0,38.0,51.0,6.0,2.0,2.0,74.0
1996Q1,197656000.0,197656000.0,43.0,59.0,8.0,1.0,1.0,51.0
1996Q3,790000.0,790000.0,97.0,-inf,,0.0,,
1997Q1,8800000.0,8800000.0,23.0,-inf,,0.0,,
1997Q3,506000.0,506000.0,267.0,-inf,,0.0,,
1998Q1,68333333.0,68333333.0,90.0,-inf,,0.0,,
1998Q3,34430000.0,34430000.0,113.0,20.0,9.0,0.0,,
1999Q1,33000000.0,33000000.0,20.0,21.0,11.0,2.0,2.0,40.0
1999Q3,9040000.0,9040000.0,209.0,12.0,12.0,0.0,,
2000Q1,181000.0,181000.0,110.0,-inf,,0.0,,
2000Q3,2934000.0,2934000.0,249.0,-inf,,0.0,,
2001Q1,9000.0,,,,,0.0,,
2001Q3,105000000.0,105000000.0,303.0,127.0,13.0,1.0,1.0,46.0
2002Q1,9400000.0,9400000.0,69.0,68.0,14.0,1.0,1.0,68.0
2002Q3,2880000.0,2880000.0,,,15.0,1.0,1.0,22.0
2003Q1,9610000.0,9610000.0,,,18.0,1.0,1.0,19.0
2003Q3,2020000.0,2020000.0,,,20.0,3.0,2.0,59.0
2004Q1,2010000.0,2010000.0,83.0,49.0,21.0,1.0,1.0,49.0
2004Q3,6000.0,,,,,0.0,,
2005Q1,152210000.0,152210000.0,,,23.0,1.0,1.0,74.0
2005Q3,162188000.0,162188000.0,,163.0,25.0,1.0,1.0,92.0
2006Q1,205000.0,205000.0,23.0,-inf,,0.0,,
2006Q3,55625000.0,55625000.0,179.0,147.0,26.0,1.0,1.0,82.0
2007Q1,2378000.0,2378000.0,26.0,23.0,27.0,1.0,1.0,23.0
2007Q3,50000.0,,,,,0.0,,
2008Q1,2000.0,,,,,0.0,,
2008Q3,755000.0,755000.0,609.0,-inf,,0.0,,
2009Q1,32666.0,,,,,0.0,,
2009Q3,5609300.0,5609300.0,382.0,-inf,,0.0,,
2010Q1,24300.0,,,,,0.0,,
2010Q3,7000.0,,,,,0.0,,
2011Q1,7000.0,,,,,0.0,,
2011Q3,22275000.0,22275000.0,650.0,23.0,28.0,1.0,,
2012Q1,86000.0,,,,,0.0,,
2012Q3,68420000.0,68420000.0,,85.0,30.0,0.0,,
2013Q1,63506600.0,63506600.0,43.0,85.0,30.0,1.0,1.0,64.0
2013Q3,255000.0,255000.0,227.0,-inf,,0.0,,
2014Q1,3000.0,,,,,0.0,,
2014Q3,439000.0,439000.0,289.0,-inf,,0.0,,
