,Institution_ID,Source_ID,e_size,KB,LCN,LCS,LCN_NB,LCN_B,LCS_NB,LCS_B,Err_KB,Match_LCN,Match_LCS,Match_Tot,Err_LCN,Err_LCS,Err_Tot,RMSE,Score
obs,CMEMS,phy-001-030,1,15,32,12,17,15,12,0,0.0,32,12,44,0,0,0,0.0,3
Member0,NCAR,CESM1-CAM5-SE-HR,1,15,44,0,29,15,0,0,0.0,32,0,32,0.0,1.0,0.273,13.16,1
Member1,CMCC,CMCC-CM2-HR4,2,15,20,24,14,6,15,9,0.6,15,7,22,0.531,0.417,0.5,5.48,2
Member2,CNRM-CERFACS,CNRM-CM6-1-HR,4,15,44,0,29,15,0,0,0.0,32,0,32,0.0,1.0,0.273,4.02,1
Member3,E3SM-Project,E3SM-1-0,5,15,0,44,0,0,29,15,1.0,0,12,12,1.0,0.0,0.727,9.27,0
Member4,EC-Earth-Consortium,EC-Earth3P,3,15,0,44,0,0,29,15,1.0,0,12,12,1.0,0.0,0.727,20.16,0
Member5,EC-Earth-Consortium,EC-Earth3P-HR,3,15,20,24,13,7,16,8,0.533,13,5,18,0.594,0.583,0.591,4.34,2
Member6,ECMWF,ECMWF-IFS-HR,6,15,31,13,21,10,8,5,0.333,24,5,29,0.25,0.583,0.341,3.77,3
Member7,ECMWF,ECMWF-IFS-MR,3,15,36,8,22,14,7,1,0.067,28,4,32,0.125,0.667,0.273,3.87,3
Member8,NOAA-GFDL,GFDL-CM4,3,15,8,36,6,2,23,13,0.867,5,9,14,0.844,0.25,0.682,5.06,2
Member9,NERC,HadGEM3-GC31-HH,4,15,35,9,24,11,5,4,0.267,26,3,29,0.188,0.75,0.341,3.88,3
Member10,MOHC,HadGEM3-GC31-MM,7,15,30,14,20,10,9,5,0.333,22,4,26,0.312,0.667,0.409,4.08,3
